label,0,1,2,3,4,5,6,7,8,9,rank_percentage
Nanometer Technologies Expert,Systems Administrator,Senior Technical Expert Software Architect,Assistant to the Manager,Supplies Manager,Head of the Department on Centralized Liabilities and Cash,Video Surveillance System Team Leader,Communications Electronics Engineer,Senior Circuit Design Engineer,Sales Manager Preseller,"Quality Assurance Engineer, Validation Department",0.0423760080113846
Receptionist Secretary,Receptionist Administrative Assistant,Service Engineer,Food and Beverage (F&B) Supervisor,Fraud Manager,Technical Manager,Chief Financial Officer,Executive Director of Credit Organization,Summer Internship,Medical Representative,Information Service Specialist,0.6710061666578823
Web Designer (Independent Contractor),Controller,Executive Assistant,Field Officer for Turpanjian Rural Development Program (TRDP),Family Physician General Practiti1r in the 5 year Mobile,Claims Administrator,Fundraising and Procurement Specialist,Sales Manager,Art Director Show Manager,"Lawyer, Administrative Legal and Litigation Practice Unit, LegalService",Senior Lawyer,0.07284035207927055
Translator,Packet Core Specialist,Secretary Registry Clerk,Monitoring Specialist,Controller,Online Marketing Developer,Senior Auditor,Purchasing and Marketing Manager,Clinical Psychologist,AutoCAD Designer,Senior Java Backend Developer,0.4786275233226164
Accountant,Accounting and Finance Assistant,Chief Accountant,C C++ Software Engineer,MI and Group Reporting Analyst,Real Estate Asset Management Division Head,Import and Purchasing Manager,IT Support Specialist,Mobile and Social Games Product Manager,Call Center Operator,Non Cash Operations Department Specialist,0.6826542982132504
Technician,Branch Accountant,Lecturer for Public Law,Doctor,Software Developer Web Services,Database Administrator,Program Analyst,Project Manager,Accountant,Web Developer,Tester Software Quality Assurance Engineer,0.1948558477836926
Office Manager,General Manager,Web Engineer,A_PHONENUMBER Junior Faculty Development Program,Finance Specialist,Civil Society Program Coordinator,Controller,Graduate Trainee for Technical Department,C C++ Software Engineer,Medical Representative,Sales Assistant,0.9916196700574501
Assistant to Project Director,AutoCAD Designer,"Leading Specialist, Financial Market Operations Department",Contractor Intern,Web Developer,Senior Java Tester,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,0.10219786011700838
Legal Acts Expert,Junior Expert at NA Standing Committee on Economic Affairs,Online Marketing Developer,Marketing Manager,Native Near Native English Teacher,Corporate Banking Manager,Internet Assessor,Head of ICT Comp1nt,QA Intern Contractor,Senior Web Developer,Area Development Programme Manager,0.4728298107837453
Administrative Assistant,Executive Director,Reports Division Specialist,R&D Engineer,Senior .Net Developer,Receptionist,Operations Coordinator,Accountant,Project Coordinator,AutoCad Teacher,Waiter Waitress,0.619880883360565
Store Manager,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Senior Java Tester,AutoCAD Designer,Food Safety Regulatory Reform Consultant,"Leading Specialist, Financial Market Operations Department",Java Developer,0.9304801560111737
Deputy Director Deputy Project Manager,Executive Director,R&D Engineer,Senior .Net Developer,Receptionist,Operations Coordinator,Video Clip Editor,Senior iOS Developer,BECD Technical Coordinator (short tirm) Pre Service,Program Officer,Sales Clerk Referent,0.8635429294260265
Adminsitrative Assistant,Young Bankers Programme,Intern,Physical Design Software Engineer,Senior Expert Economic Development Programs,Trainer,IT Project Management Consultant,Monitoring and Evaluation Specialist,Master's Program in Economics,Medical Representative,Manager Operating,0.7143308912665367
Programmes Coordinator,General Manager,External Relations Specialist,Sales Assistant,Sales Specialist,Communications PR Specialist,Sanitary Supervisor,iPh1 iPad Application Developer,Web Engineer,Finance Associate,Lecturer for Public Law,0.3353713171348759
Information Officer Librarian,Online Marketing Developer,QA Intern Contractor,Senior Web Developer,Institutional Capacity Development Specialist,Brand Manager,Rural Credit Specialist,Controller,Project Coordinator,Director of Finance,Junior Expert at NA Standing Committee on Economic Affairs,0.1273915564222843
Environmental Education Programme Manager,Secretary Registry Clerk,GUI Developer,Head of Credit Back Office,Technical Consultant,Marketing Superviser,Front Office Manager,Head of Internal Audit Department,Quality Support Specialist,Assistant to the Prime Minister of RA Macroeconomist,Trust Management Unit Senior Specialist,0.9749117166499763
NGO Programme Manager,Senior Java Tester,Designer,Senior Auditor,Increasing Public Awareness and Participation on the Monitoring,Director of Accounting & Fundraising,State Investments Management Trainer,Head of ICT Comp1nt,Payment System Senior Specialist,Java Developer,Expediter,0.6631529014915933
Assistant to Executive Director,Senior Web Developer,Translator,Business Consultant,Verification Engineer,Credit Officer,"R&D Engineer, II SEG",Web Developer,Fleet MainA_PHONENUMBERance Supervisor,Tour Manager,Cashier Operator,0.43841248089390183
Water Programme Manager,Deputy CEO,Sales Manager,C# .NET Developer,"Head of Payment Cards, ATM and POS Terminals Operations",Visual Merchandiser,Administrative Assistant,UI Web Engineer,Corporate Lending Specialist,"Leading Specialist, Financial Market Operations Department",Web Designer,0.08311811521636009
Aerobics Fitness Instructor,Senior Loan Credit Provider Monitoring Specialist,"Retail Credit Portfolio Post Underwriting Unit Loan Officer,",Place and Route Technical Marketing Engineer,Online Marketing Developer,Internet Assessor,Food Safety Regulatory Reform Consultant,Chief Security Officer,Corporate Affairs Trainee,Native Near Native English Teacher,Corporate Banking Manager,0.8414062088230644
Automated Test Engineer,Sales Assistant,Sales Specialist,Communications PR Specialist,Sanitary Supervisor,iPh1 iPad Application Developer,Web Engineer,Database Developer,Web Developer,Secretary Registry Clerk,Medical Representative,0.8236441258630686
Automated Tests Developer,Fraud and Revenue Assurance Analyst Database Developer,Chief Financial Officer,Assistant Associate Professors (5 posts),Reporting Analyst,Cashier at Entertainment Z1,English Language Courses,Head of Financial Market Analysis and Short term Programming,Quality Assurance Specialist,Medical Representative in Syunik,Senior Android Developer,0.5881515838296527
Financial Manager,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,"Leading Specialist, Financial Market Operations Department",Business Advisor Non Farm Rural Enterprises,Web Designer,Web Developer,Senior Java Tester,0.2959468718705529
Marketing Manager,"Leading Specialist, Financial Market Operations Department",Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Senior Java Tester,Business Advisor Non Farm Rural Enterprises,Web Developer,.NET C# Developer,0.25293838612765507
Java Developer,Creative Manager,Information Security Responsible,Junior Accountant,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,QA Senior Software Test Developer,Language Assistant for EU Twinning Project,0.37321456807041586
Tourism Manager,Assistant to the Chief,Public Relations Responsible,Chocolate and Flavour Products Technologist,Store Manager Director,International Account Manager,Sales Director,Financial Analyst,C#.NET Senior Developer Architect,"Leading Specialist, Financial Market Operations Department",Head of Nushikyan Print,0.051757761028830444
Store Manager Technical Consultant,Senior Manager of Support Services,Strategic Planning and Business Development Officer,Accountant,IT Support Specialist,Sales Director,Designer,Mobile and Social Games Product Manager,Sales Engineer,Ne2rk Administrator,Cashier,0.9593633057502767
Tourism Manager,Sales Manager,Pharmacist Operator,Office Manager,Branch Manager,Finance Manager,Credit and Debt Manager,Marketing Assistant,Legal Adviser,Java Developer,Training Officer,0.8920571338217467
Jewelry Modelmaker,Branch Manager,Finance Manager,System Architectural Designer,Chief Engineer,Chief Accountant,Administrator Accountant,Community Watershed Management Comp1nt Coordinator,Methodology Group Specialist,UI Web Engineer,Salesman,0.47277710430611924
"Program Officer, Media and Anti Corruption Programs",Chemical Engineer,Medical Representative,Software Test Engineer,Web Developer,Receptionist,Chief Legal Adviser,Embedded Linux BSP Engineer,Design Engineer,PHP Developer,Secretary on Disability Issues,0.9615242713329468
Technician,"Deputy Chief of State Service of Food Safety, SNCOs and",System Administrator,General Manager,Tourism Specialist,Project Coordinator for Promoting Equal Rights and Equal,Import and Logistics Manager,Senior C++ Engineer,Shop Manager,Brand Manager,Family Physician General Practiti1r in the 5 year Mobile,0.006746429136140832
"Program Officer, Local Governance and Partnership Programs",Legal Adviser,UI Web Engineer,Moskovyan Branch Teller,Security Guard,Deputy Head of Construction Division,Secretary,QA (Quality Assurance) Engineer,Creative Manager,Claims Administrator,Fundraising and Procurement Specialist,0.7462710167079534
"Program Officer, Cross border Trade and Philanthropy Programs",Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,"Leading Specialist, Financial Market Operations Department",Java Developer,"Chief Executive Officer of ""North South Road Corridor Investment",System Analyst,National Project Coordinator (NPC),0.52263743214041
Salesman,Chief Accountant,Chemical Engineer,Assistant Project Officer Education NOB,Database Administrator,Medical Representative,Master of Agribusiness Program,IN VAS Messaging Engineer,.NET Software Developer,Head of Credit Monitoring Division,Human Resources Certification Institute (HRCI) Certification,0.3365835661202762
Director of Design Studio,Executive Director,Video Clip Editor,R&D Engineer,IT Reporting System Administration Senior Specialist,Senior .Net Developer,Community Health Education Technical Coordinator for Pre Service,Sales Person,Receptionist,Operations Coordinator,Sales Trainer,0.9204659252622147
"Program Officer, Community Organizations and Youth Programs",Engineer,Meat Production Technologist,CAD CAM Engineer,Layout Engineer SG Virage,Manager of Gyumri Technology Center (GTC),Administrative Assistant,PR Manager,Business Analytics Specialist,Finance Officer,"Analyst, Financial System Policy and Financial Stability",0.5770305170505455
Administrative Assistant,Program Experts,Head Engineer Mechanic of food (canning) industry,Lawyer,Local Governance Expert for Municipal Services,Project Manager for Cross border Programs,Accountant,Pre Seller,Supplied Services Agent,Sales Manager,Medical Representative,0.29051810467506456
Secretary,Internet Assessor,AutoCAD Designer,Native Near Native English Teacher,Corporate Banking Manager,Food Safety Regulatory Reform Consultant,Medical Representative,Learning Coach,Product Manager,Medical Representative,Contractor Intern,0.34944394666104467
Call for Student Applications,Senior PHP Developer,Local Consultant for Rapid Assessment of Child Care Institutions,Salesperson Consultant,Business Analyst,Public Awareness and Media Consultant,Computer Hardware Engineer System Administrator,Finance Banking Consultants,Administrative Assistant,Internal Auditor,Agents Ne2rk Manager,0.7769988931639699
Special Projects Assistant Receptionist,System Architectural Designer,"Leading Specialist, Financial Market Operations Department",Public Relations Responsible,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Medical Representative,"Escort; FP BB*, FSN 3",0.5591103146576715
